attack,r10,r12,r42,r48,r72
0,0.001984723144183997,0.15082811079229705,0.0038828098217869957,0.00018586666750295384,0.2762956745866207
0,0.001888494941067593,0.1460749756631854,0.0031946266530299837,0.00035423974618809103,0.25746043857102896
0,0.0020865897106283945,0.1557783527842043,0.0037062122754561336,0.00023553865837985832,0.27519083803062083
0,0.0016493934376319195,0.13566104066897453,0.00345202467944839,0.000301630121495137,0.24997739492991738
0,0.0019981301827567853,0.150398319585014,0.0038052559467577755,0.00022458034058781334,0.2718760978617985
0,0.001591911058391577,0.13536389103477214,0.0034149273952480057,0.00029290947693294436,0.2508270848652826
0,0.001934541223671475,0.14956666503013535,0.0039172354036313495,0.00020950106085003043,0.27339443462797586
0,0.0017637372828022138,0.146318587638635,0.003203666817051059,0.00032722082307520253,0.25837686087400064
0,0.002091576363749383,0.1543202103431645,0.0037013109534865044,0.00023534365491248134,0.27410767715878537
0,0.0016640915550357603,0.13859525616464197,0.003357025856018857,0.0002782046950994694,0.25626852026602454
0,0.002103989309868562,0.15642304217644035,0.003657891507443777,0.00024215928809443428,0.2765379912247981
0,0.001749371425463943,0.1483492510845766,0.0032760879619385458,0.00027420784843437023,0.2627426412283935
0,0.002136788760411685,0.1531980920580441,0.0036538131629510885,0.00028025139036913266,0.2689932715563632
0,0.0015558955899354521,0.13360581539523303,0.0038351999743620204,0.00021198582063651998,0.2550591060384238
0,0.0021164891238484697,0.15219061475067636,0.003586034421085126,0.0002902216581070787,0.26781143407273833
0,0.0013721094050202626,0.1286865651915047,0.003813355325845466,0.00022363290783965317,0.24979006988774016
0,0.0021020126691554553,0.15427823576447738,0.0036156607747894246,0.0002574440222617893,0.27275253583996023
0,0.0018346633824236527,0.14980319699166472,0.0034494765145593642,0.0002661752274075493,0.2677595738459337
0,0.002045010568950237,0.1514124507275802,0.0035403490342287205,0.00030101796034397475,0.2662651877430128
0,0.0016262643147396106,0.15105496780293098,0.004182663965915835,0.00019777542112574302,0.28336997695838595
